Timestamp,Daily RVOL,Rolling RVOL,5-Min RVOL,20-Min RVOL,5-Min Price Change,10-Min Price Change,1-Hour Price Change,24-Hour Price Change,7-Day Price Change,Circulating Supply,24-Hour Volume,Last Price,Market Cap
2025-01-08 00:10:00+00:00,0.85,1.67,1.34,1.01,0.34,-0.05,0.1,-5.25,9.56,57449049415.00,7411735054.81,2.2855,131300771390.05
2025-01-08 00:14:00+00:00,0.85,1.67,1.34,1.01,0.34,0.58,0.55,-4.95,9.88,57449049415.00,7429721395.75,2.2933,131746066141.05
2025-01-08 00:19:00+00:00,0.85,1.68,1.35,1.02,0.76,1.45,1.22,-4.35,10.35,57449049415.00,7481884508.03,2.3106,132744141634.06
2025-01-08 00:24:00+00:00,0.85,1.69,1.35,1.02,-0.09,1.01,0.89,-4.49,10.27,57449049415.00,7534089721.74,2.3086,132624204641.94
2025-01-08 00:29:00+00:00,0.85,1.7,1.35,1.02,-0.11,0.55,0.71,-4.58,10.19,57449049415.00,7566753894.87,2.3059,132473184533.64
2025-01-08 00:34:00+00:00,0.85,1.7,1.34,1.02,0.06,-0.14,0.82,-4.53,9.79,57449049415.00,7583948359.37,2.3073,132554327448.28
2025-01-08 00:39:00+00:00,0.85,1.7,1.34,1.02,0.16,0.11,1.03,-4.55,10.18,57449049415.00,7598584312.21,2.3111,132768755849.77
2025-01-08 00:45:00+00:00,0.85,1.71,1.34,1.02,0.65,0.87,1.75,-3.67,11.01,57449049415.00,7648685689.99,2.3260,133629320909.18
2025-01-08 00:50:00+00:00,0.85,1.72,1.35,1.02,0.0,0.81,2.03,-3.49,10.9,57449049415.00,7683654730.76,2.3261,133629860841.98
2025-01-08 00:55:00+00:00,0.85,1.72,1.34,1.01,-0.15,0.49,2.01,-3.7,10.57,57449049415.00,7692106903.42,2.3225,133425289896.78
2025-01-08 00:59:00+00:00,0.85,1.72,1.34,1.01,0.13,-0.02,2.34,-3.47,10.62,57449049415.00,7707207477.98,2.3255,133596056060.52
2025-01-08 01:04:00+00:00,0.85,1.48,1.33,1.01,-0.06,-0.08,2.11,-3.19,10.55,57449049415.00,7703639520.30,2.3242,133522271441.72
2025-01-08 01:09:00+00:00,0.85,1.47,1.33,1.0,-0.13,-0.06,1.76,-3.22,10.56,57449049415.00,7689789724.28,2.3211,133345662081.52
2025-01-08 01:14:00+00:00,0.85,1.47,1.33,1.0,-0.18,-0.36,1.04,-3.4,10.31,57449049415.00,7690227966.03,2.3170,133110348256.70
2025-01-08 01:19:00+00:00,0.85,1.47,1.33,1.0,-0.01,-0.32,0.26,-3.47,10.49,57449049415.00,7702183658.78,2.3167,133094965616.66
2025-01-08 01:24:00+00:00,0.85,1.47,1.34,1.0,0.17,-0.02,0.52,-3.43,10.76,57449049415.00,7732466119.95,2.3206,133314848997.17
2025-01-08 01:29:00+00:00,0.85,1.47,1.34,1.01,-0.16,-0.01,0.48,-3.56,10.59,57449049415.00,7741961457.42,2.3169,133103305109.25
2025-01-08 01:34:00+00:00,0.85,1.47,1.34,1.01,0.18,0.18,0.59,-3.56,10.67,57449049415.00,7753493160.92,2.3210,133340365122.75
2025-01-08 01:39:00+00:00,0.85,1.47,1.34,1.01,-0.05,-0.03,0.38,-3.56,10.44,57449049415.00,7771180062.05,2.3199,133277902233.20
2025-01-08 01:45:00+00:00,0.85,1.47,1.34,1.01,-0.31,-0.18,-0.57,-3.91,10.16,57449049415.00,7777514647.36,2.3127,132862278579.47
2025-01-08 01:50:00+00:00,0.85,1.47,1.34,1.01,-0.31,-0.67,-0.88,-4.18,9.9,57449049415.00,7781026439.69,2.3056,132451772973.57
2025-01-08 01:54:00+00:00,0.85,1.47,1.34,1.0,-0.07,-0.69,-0.92,-4.35,9.97,57449049415.00,7787823296.22,2.3038,132353364066.56
2025-01-08 01:59:00+00:00,0.85,1.47,1.34,1.01,0.96,0.57,0.02,-3.61,11.14,57449049415.00,7820578115.58,2.3259,133618146939.19
2025-01-08 02:04:00+00:00,0.85,1.48,1.34,1.01,0.15,1.03,0.22,-3.4,11.26,57449049415.00,7845045965.48,2.3293,133814506788.95
2025-01-08 02:09:00+00:00,0.85,1.48,1.34,1.01,0.22,1.32,0.57,-3.06,11.49,57449049415.00,7866698933.14,2.3343,134102653676.02
2025-01-08 02:14:00+00:00,0.85,1.48,1.34,1.01,0.34,0.7,1.09,-2.69,11.73,57449049415.00,7901152481.95,2.3422,134556103060.68
2025-01-08 02:20:00+00:00,0.85,1.48,1.34,1.01,-0.16,0.39,0.9,-2.83,11.69,57449049415.00,7913617071.29,2.3383,134335811199.05
